
2 theta/deg	Intensity
   22.26274       459.0000    
   22.29616       422.0000    
   22.32959       422.0000    
   22.36301       464.0000    
   22.39643       409.0000    
   22.42985       477.0000    
   22.46328       442.0000    
   22.49670       449.0000    
   22.53012       473.0000    
   22.56354       437.0000    
   22.59697       437.0000    
   22.63039       441.0000    
   22.66381       417.0000    
   22.69724       459.0000    
   22.73066       409.0000    
   22.76408       440.0000    
   22.79750       433.0000    
   22.83092       446.0000    
   22.86435       414.0000    
   22.89777       469.0000    
   22.93119       404.0000    
   22.96461       414.0000    
   22.99804       417.0000    
   23.03146       416.0000    
   23.06488       437.0000    
   23.09830       443.0000    
   23.13173       438.0000    
   23.16515       410.0000    
   23.19857       432.0000    
   23.23199       403.0000    
   23.26542       428.0000    
   23.29884       446.0000    
   23.33226       420.0000    
   23.36568       405.0000    
   23.39911       403.0000    
   23.43253       433.0000    
   23.46595       422.0000    
   23.49937       479.0000    
   23.53279       444.0000    
   23.56622       438.0000    
   23.59964       456.0000    
   23.63306       421.0000    
   23.66649       436.0000    
   23.69991       394.0000    
   23.73333       437.0000    
   23.76675       451.0000    
   23.80018       445.0000    
   23.83360       420.0000    
   23.86702       458.0000    
   23.90044       427.0000    
   23.93387       480.0000    
   23.96729       446.0000    
   24.00071       437.0000    
   24.03413       430.0000    
   24.06756       445.0000    
   24.10098       433.0000    
   24.13440       448.0000    
   24.16782       441.0000    
   24.20125       406.0000    
   24.23467       454.0000    
   24.26809       442.0000    
   24.30151       437.0000    
   24.33494       427.0000    
   24.36836       467.0000    
   24.40178       461.0000    
   24.43520       443.0000    
   24.46863       451.0000    
   24.50205       449.0000    
   24.53547       453.0000    
   24.56890       418.0000    
   24.60232       446.0000    
   24.63574       425.0000    
   24.66916       425.0000    
   24.70259       421.0000    
   24.73601       466.0000    
   24.76943       436.0000    
   24.80285       440.0000    
   24.83628       432.0000    
   24.86970       443.0000    
   24.90312       424.0000    
   24.93654       411.0000    
   24.96997       424.0000    
   25.00339       414.0000    
   25.03681       437.0000    
   25.07023       422.0000    
   25.10366       427.0000    
   25.13708       444.0000    
   25.17050       418.0000    
   25.20392       468.0000    
   25.23735       422.0000    
   25.27077       404.0000    
   25.30419       400.0000    
   25.33761       455.0000    
   25.37104       432.0000    
   25.40446       454.0000    
   25.43788       443.0000    
   25.47131       437.0000    
   25.50473       465.0000    
   25.53815       455.0000    
   25.57157       388.0000    
   25.60500       399.0000    
   25.63842       409.0000    
   25.67184       406.0000    
   25.70526       426.0000    
   25.73869       428.0000    
   25.77211       421.0000    
   25.80553       452.0000    
   25.83895       456.0000    
   25.87238       430.0000    
   25.90580       424.0000    
   25.93922       446.0000    
   25.97264       399.0000    
   26.00607       427.0000    
   26.03949       448.0000    
   26.07291       434.0000    
   26.10633       413.0000    
   26.13976       425.0000    
   26.17318       428.0000    
   26.20660       398.0000    
   26.24002       449.0000    
   26.27345       447.0000    
   26.30687       464.0000    
   26.34029       439.0000    
   26.37371       419.0000    
   26.40714       445.0000    
   26.44056       470.0000    
   26.47398       482.0000    
   26.50740       387.0000    
   26.54082       423.0000    
   26.57425       439.0000    
   26.60767       405.0000    
   26.64109       410.0000    
   26.67451       445.0000    
   26.70794       432.0000    
   26.74136       438.0000    
   26.77478       449.0000    
   26.80820       463.0000    
   26.84163       483.0000    
   26.87505       404.0000    
   26.90847       461.0000    
   26.94189       404.0000    
   26.97532       428.0000    
   27.00874       424.0000    
   27.04216       447.0000    
   27.07558       416.0000    
   27.10901       431.0000    
   27.14243       428.0000    
   27.17585       439.0000    
   27.20927       422.0000    
   27.24270       434.0000    
   27.27612       422.0000    
   27.30954       426.0000    
   27.34296       425.0000    
   27.37639       452.0000    
   27.40981       443.0000    
   27.44323       473.0000    
   27.47666       465.0000    
   27.51008       416.0000    
   27.54350       420.0000    
   27.57692       473.0000    
   27.61035       407.0000    
   27.64377       444.0000    
   27.67719       423.0000    
   27.71061       439.0000    
   27.74404       443.0000    
   27.77746       431.0000    
   27.81088       414.0000    
   27.84430       416.0000    
   27.87773       410.0000    
   27.91115       425.0000    
   27.94457       443.0000    
   27.97799       444.0000    
   28.01142       404.0000    
   28.04484       419.0000    
   28.07826       440.0000    
   28.11168       503.0000    
   28.14511       433.0000    
   28.17853       472.0000    
   28.21195       460.0000    
   28.24537       451.0000    
   28.27880       424.0000    
   28.31222       434.0000    
   28.34564       429.0000    
   28.37907       391.0000    
   28.41249       450.0000    
   28.44591       436.0000    
   28.47933       437.0000    
   28.51276       445.0000    
   28.54618       475.0000    
   28.57960       399.0000    
   28.61302       444.0000    
   28.64645       437.0000    
   28.67987       419.0000    
   28.71329       423.0000    
   28.74671       447.0000    
   28.78014       459.0000    
   28.81356       410.0000    
   28.84698       439.0000    
   28.88040       465.0000    
   28.91383       442.0000    
   28.94725       415.0000    
   28.98067       444.0000    
   29.01409       482.0000    
   29.04752       432.0000    
   29.08094       448.0000    
   29.11436       451.0000    
   29.14778       401.0000    
   29.18121       449.0000    
   29.21463       449.0000    
   29.24805       486.0000    
   29.28148       461.0000    
   29.31490       437.0000    
   29.34832       418.0000    
   29.38174       440.0000    
   29.41516       466.0000    
   29.44859       436.0000    
   29.48201       407.0000    
   29.51543       451.0000    
   29.54885       436.0000    
   29.58228       428.0000    
   29.61570       491.0000    
   29.64912       429.0000    
   29.68254       416.0000    
   29.71597       439.0000    
   29.74939       418.0000    
   29.78281       459.0000    
   29.81623       458.0000    
   29.84966       487.0000    
   29.88308       482.0000    
   29.91650       469.0000    
   29.94992       436.0000    
   29.98335       450.0000    
   30.01677       443.0000    
   30.05019       463.0000    
   30.08361       467.0000    
   30.11703       458.0000    
   30.15046       449.0000    
   30.18388       455.0000    
   30.21730       458.0000    
   30.25073       455.0000    
   30.28415       421.0000    
   30.31757       418.0000    
   30.35099       484.0000    
   30.38442       464.0000    
   30.41784       451.0000    
   30.45126       453.0000    
   30.48468       485.0000    
   30.51811       502.0000    
   30.55153       465.0000    
   30.58495       488.0000    
   30.61837       481.0000    
   30.65180       461.0000    
   30.68522       467.0000    
   30.71864       477.0000    
   30.75206       460.0000    
   30.78549       461.0000    
   30.81891       477.0000    
   30.85233       432.0000    
   30.88575       453.0000    
   30.91918       484.0000    
   30.95260       447.0000    
   30.98602       459.0000    
   31.01944       453.0000    
   31.05287       449.0000    
   31.08629       454.0000    
   31.11971       465.0000    
   31.15313       467.0000    
   31.18656       455.0000    
   31.21998       499.0000    
   31.25340       509.0000    
   31.28683       442.0000    
   31.32025       497.0000    
   31.35367       499.0000    
   31.38709       477.0000    
   31.42052       459.0000    
   31.45394       469.0000    
   31.48736       476.0000    
   31.52078       444.0000    
   31.55421       470.0000    
   31.58763       489.0000    
   31.62105       470.0000    
   31.65447       499.0000    
   31.68790       477.0000    
   31.72132       476.0000    
   31.75474       474.0000    
   31.78816       532.0000    
   31.82159       481.0000    
   31.85501       466.0000    
   31.88843       453.0000    
   31.92185       477.0000    
   31.95528       486.0000    
   31.98870       496.0000    
   32.02212       482.0000    
   32.05554       532.0000    
   32.08897       511.0000    
   32.12239       453.0000    
   32.15581       470.0000    
   32.18924       493.0000    
   32.22266       494.0000    
   32.25608       524.0000    
   32.28950       478.0000    
   32.32293       504.0000    
   32.35635       528.0000    
   32.38977       518.0000    
   32.42319       476.0000    
   32.45662       487.0000    
   32.49004       539.0000    
   32.52346       487.0000    
   32.55688       492.0000    
   32.59031       474.0000    
   32.62373       482.0000    
   32.65715       480.0000    
   32.69057       529.0000    
   32.72400       458.0000    
   32.75742       528.0000    
   32.79084       506.0000    
   32.82426       524.0000    
   32.85769       496.0000    
   32.89111       504.0000    
   32.92453       503.0000    
   32.95795       519.0000    
   32.99137       550.0000    
   33.02480       584.0000    
   33.05822       523.0000    
   33.09164       499.0000    
   33.12506       521.0000    
   33.15849       535.0000    
   33.19191       563.0000    
   33.22533       536.0000    
   33.25875       545.0000    
   33.29218       505.0000    
   33.32560       529.0000    
   33.35902       525.0000    
   33.39244       538.0000    
   33.42587       549.0000    
   33.45929       545.0000    
   33.49271       563.0000    
   33.52613       521.0000    
   33.55956       532.0000    
   33.59298       542.0000    
   33.62640       550.0000    
   33.65982       531.0000    
   33.69325       519.0000    
   33.72667       528.0000    
   33.76009       549.0000    
   33.79351       585.0000    
   33.82694       538.0000    
   33.86036       547.0000    
   33.89378       516.0000    
   33.92720       562.0000    
   33.96063       587.0000    
   33.99405       565.0000    
   34.02747       563.0000    
   34.06090       559.0000    
   34.09432       587.0000    
   34.12774       569.0000    
   34.16116       551.0000    
   34.19459       589.0000    
   34.22801       586.0000    
   34.26143       591.0000    
   34.29485       583.0000    
   34.32828       583.0000    
   34.36170       577.0000    
   34.39512       607.0000    
   34.42854       585.0000    
   34.46197       601.0000    
   34.49539       616.0000    
   34.52881       578.0000    
   34.56223       607.0000    
   34.59566       581.0000    
   34.62908       576.0000    
   34.66250       590.0000    
   34.69592       589.0000    
   34.72935       643.0000    
   34.76277       660.0000    
   34.79619       620.0000    
   34.82961       629.0000    
   34.86304       622.0000    
   34.89646       659.0000    
